"","driver","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193"
"1","Austin Cindric",NA,53.053,47.528,47.636,47.514,47.592,47.407,48.135,47.245,47.191,47.061,47.246,47.217,47.053,47.01,46.884,47.17,47.199,47.523,47.44,47.405,47.339,47.071,47.147,47.285,47.337,47.281,47.295,47.007,46.911,46.719,46.738,46.97,47.052,47.216,47.502,47.244,72.238,62.281,47.436,46.449,85.607,116.626,142.318,119.464,113.425,50.451,46.543,46.548,46.928,46.702,46.673,65.512,110.069,129.701,126.959,126.571,50.837,46.952,47.132,47.139,46.849,46.676,79.697,107.971,132.495,130.819,131.306,142.114,116.376,126.847,123.964,51.153,46.982,46.742,47.07,47.415,46.958,47.07,46.972,46.744,46.933,46.741,46.968,46.974,47.188,46.925,46.854,46.945,46.901,47.081,47.055,47.15,47.182,47.095,47.028,46.995,47.043,46.945,46.932,46.962,47.109,46.957,46.947,47.117,47.114,47.137,47.069,69.363,61.391,47.169,46.496,46.944,47.292,47.207,46.755,46.887,46.995,47.079,46.606,46.951,46.697,46.572,46.577,46.462,46.687,46.398,46.192,46.533,46.781,46.835,69.289,116.493,147.85,127.57,126.752,46.538,47.235,47.027,46.557,46.798,46.939,46.868,70.349,119.145,128.167,128.344,124.174,125.646,132.176,51.348,47.843,47.142,46.995,46.748,46.86,47.088,46.92,46.819,46.861,47.003,46.75,46.897,46.783,46.911,46.586,46.548,47.112,46.918,46.491,46.935,46.364,46.374,46.666,46.576,46.634,46.938,46.77,46.102,46.91,46.688,497.467,153.039,137.384,133.771,51.256,106.927,131.51,137.968,136.32,52.01,47.199,NA
"2","Bubba Wallace",NA,52.762,47.715,47.525,47.577,47.503,47.461,47.493,47.436,47.278,47.314,47.381,47.394,46.897,46.924,47.125,47.354,47.48,47.455,47.383,47.2,47.239,47.055,47.175,46.968,47.159,47.237,47.147,46.831,46.952,46.719,46.821,47.122,46.867,46.955,47.008,47.232,47.239,56.518,77.243,46.819,83.059,116.535,128.623,128.653,120.599,50.852,46.691,46.876,47.065,46.967,46.15,63.855,110.316,128.543,127.82,128.33,50.904,47.083,47.026,47.216,46.744,46.779,72.185,113.258,133.554,131.796,130.621,129.661,143.655,123.769,114.531,51.378,46.7,46.646,46.949,47.176,47.109,47.033,47.255,46.955,47.119,46.766,47.032,47.731,46.799,46.888,46.981,47.245,46.764,46.847,47.036,47.278,47.208,46.932,47.031,46.975,47.265,46.988,46.757,47.094,47.071,46.933,46.868,47.325,47.036,47.205,46.996,47.641,56.08,72.016,46.591,47.259,47.171,47.189,46.806,46.811,46.739,46.983,46.862,46.871,46.648,46.56,46.423,46.438,46.571,46.557,46.114,46.595,46.788,46.684,64.342,120.276,128.888,126.944,126.61,47.402,47.236,47.027,46.53,46.811,46.919,46.869,71.659,119.214,127.518,127.847,135.837,125.73,131.751,51.747,47.663,47.071,46.811,46.729,46.834,47.004,47.077,46.82,46.783,47.054,47.025,47.05,46.644,46.75,46.496,46.378,47.083,46.966,46.451,46.952,46.385,46.339,46.507,47.338,46.489,46.983,46.668,46.183,46.991,46.521,501.358,151.185,136.019,133.075,51.345,108.533,130.546,137.925,135.662,51.969,47.04,NA
"3","Chase Briscoe",NA,53.036,47.126,47.24,47.527,47.627,47.29,47.331,47.542,47.123,47.105,47.392,47.472,46.957,47.08,46.786,47.693,47.392,47.224,47.236,47.318,47.449,47.019,47.12,47.098,47.08,47.289,47.047,47.031,46.991,46.791,46.804,46.999,47.118,47.196,47.355,47.41,70.682,62.257,47.355,46.504,144.516,119.734,77.749,119.842,117.413,50.37,47.144,46.71,46.046,48.94,46.154,68.633,186.513,69.859,115.391,117.492,50.872,48.384,47.099,47.342,47.67,47.431,92.601,108.491,127.236,126.483,129.504,145.352,116.707,124.812,116.073,51.028,46.926,46.622,47.08,47.3,47.115,47.155,46.948,46.654,47.08,46.667,46.747,47.098,47.081,47.003,46.889,46.992,46.929,46.983,47.07,47.231,47.174,47.056,47.012,47.031,47.103,46.867,46.959,46.939,47.072,46.949,47.058,47.026,47.201,47.097,47.131,79.167,63.32,49.604,49.438,49.584,49.692,49.698,48.364,48.15,48.125,48.087,48.118,48.072,47.851,48.123,48.118,48.098,47.887,48.359,48.242,48.514,54.181,54.197,96.447,138.639,124.406,122.761,46.737,47.257,46.99,46.599,46.843,46.911,46.895,78.387,114.227,127.94,127.038,126.374,126.17,128.504,51.368,47.719,47.165,46.997,46.7,46.96,47.067,46.93,46.797,46.867,47.016,46.735,46.888,46.824,46.863,46.687,46.521,47.093,47.029,46.608,46.796,46.555,46.633,46.658,46.74,47.528,46.245,46.863,46.056,46.474,46.693,503.475,150.056,136.149,131.68,51.606,109.749,130.178,137.289,134.838,51.958,47.084,NA,NA
"4","Ryan Blaney",NA,53.242,48.045,47.654,47.518,47.522,47.437,47.373,47.432,47.274,47.337,47.405,47.132,47.025,46.937,46.919,47.141,47.276,47.524,47.471,47.396,47.336,47.057,47.108,47.296,47.313,47.374,47.048,46.861,46.91,46.728,46.823,47.091,46.929,46.94,47.06,47.193,56.403,76.485,48.319,47.024,84.411,116.891,127.604,127.986,119.941,50.824,46.708,46.858,46.98,46.969,46.905,67.071,111.836,154.167,111.892,115.423,50.883,47.743,47.052,47.565,47.546,47.404,90.645,103.67,131.626,127.181,130.477,126.582,125.022,126.614,124.996,51.278,46.984,46.732,47.025,47.463,46.922,47.081,46.987,46.747,46.924,46.74,46.986,46.954,47.199,46.913,46.866,46.935,46.902,47.105,47.025,47.153,47.194,47.101,47.014,46.986,47.047,46.971,46.914,46.964,47.101,46.966,46.941,47.118,47.119,47.144,47.06,55.123,74.214,47.474,46.301,47.675,47.057,47.495,46.811,46.852,47.016,46.974,46.587,47.032,46.654,46.601,46.424,47.05,47.075,46.93,46.522,46.597,47.01,46.159,70.93,116.886,127.99,126.01,124.774,46.655,47.236,47.008,46.512,46.822,46.915,46.886,77.598,114.195,127.847,127.366,136.054,125.565,131.235,51.308,47.84,47.14,47.007,46.739,46.88,47.066,46.922,46.825,46.873,46.988,46.76,46.882,46.79,46.92,46.572,46.592,47.073,46.936,46.502,46.943,46.337,46.455,46.661,46.602,46.547,47.012,46.673,46.141,46.891,46.676,498.472,152.784,137.016,133.411,51.323,107.498,131.138,137.999,136.062,51.986,47.219,NA
"5","Aric Almirola",NA,52.78,46.758,47.534,47.496,47.399,47.386,47.384,47.415,47.181,47.279,47.388,47.155,46.981,46.987,46.891,47.126,47.272,47.518,47.398,47.505,47.298,47.076,47.083,47.342,47.314,47.373,47.158,46.934,47.028,46.813,46.66,47.028,47.118,47.179,47.376,47.334,58.138,75.488,47.402,46.381,88.285,115.226,128.889,131.028,113.807,50.575,46.709,46.941,47.039,47.867,47.106,66.731,112.078,134.446,124.058,120.512,51.362,48.301,47.35,47.321,47.625,47.529,91.297,107.037,128.806,126.529,129.721,127.132,132.101,126.338,118.109,51.082,47.06,46.945,47.066,47.312,47.117,47.159,46.999,46.604,47.058,46.76,46.702,47.068,47.09,47.003,46.887,47.011,46.921,46.955,47.074,47.263,47.131,47.086,46.993,47.046,47.091,46.876,46.955,46.95,47.043,46.964,47.082,47.009,47.217,47.074,47.124,58.838,70.721,47.155,46.525,46.929,47.249,47.246,46.753,46.891,46.996,47.062,46.536,47.021,46.718,46.545,46.629,47.271,47.524,47.161,46.964,46.997,47.497,47.881,74.653,114.743,124.047,125.702,125.331,47.079,47.235,47.014,46.884,46.837,47.189,46.636,78.307,114.385,128.37,127.079,139.704,126.21,126.142,51.169,47.786,47.082,47.086,46.846,46.883,47.191,46.894,46.993,46.835,47.123,46.956,46.681,46.718,47.089,46.663,46.342,47.067,46.872,46.636,46.537,46.653,46.21,46.387,46.898,46.535,46.809,46.614,46.196,46.703,46.849,502.039,151.062,135.956,132.462,51.313,109.002,130.711,137.595,135.36,51.88,47.054,NA
"6","Kyle Busch",NA,52.987,47.543,47.577,47.541,47.594,47.419,47.636,47.386,47.294,47.343,47.255,47.472,46.912,46.919,47.126,47.32,47.488,47.491,47.345,47.236,47.169,47.122,47.157,47.058,47.095,47.189,47.161,46.821,46.924,46.809,46.782,47.142,46.81,47.037,46.917,47.269,47.239,56.439,74.753,48.476,74.851,119.971,128.113,128.343,126.51,51.411,46.623,46.621,47.018,46.736,46.656,54.432,115.676,128.106,128.483,131.726,51.398,47.036,47.027,46.952,46.512,46.887,124.821,128.239,95.638,160.2,86.74,173.194,91.674,121.185,112.559,51.176,46.663,46.672,46.925,47.186,47.107,47.018,47.272,46.962,47.121,46.779,47.027,47.788,46.831,46.852,46.9,47.28,46.817,46.778,47.048,47.254,47.204,46.965,47.025,46.955,47.281,46.966,46.785,47.056,47.095,46.935,46.856,47.407,47.077,47.096,47.03,47.602,56.951,73.465,47.445,46.702,46.541,46.152,46.252,46.508,46.71,46.97,46.909,46.91,46.628,46.526,47.525,47.225,46.64,46.477,46.962,47.098,47.537,47.796,72.158,118.537,179.185,129.938,72.525,46.868,47.213,47.098,46.804,46.719,46.747,46.798,79.543,114.149,129.173,126.01,137.232,124.426,127.236,51.432,47.471,47.09,46.796,46.737,46.77,47.093,47.034,46.824,46.79,47.046,47.024,47.049,46.665,46.752,46.479,46.378,47.097,46.949,46.478,46.942,46.374,46.35,46.596,46.592,46.66,46.934,47.139,46.729,46.729,46.796,502.439,150.82,135.874,132.191,53.655,107.423,130.396,137.991,134.463,51.903,47.061,NA
"7","Michael McDowell",NA,53.307,47.521,47.603,47.531,47.608,47.412,48.074,47.289,47.162,47.088,47.307,47.131,47.111,47.004,46.849,47.167,47.239,47.505,47.467,47.356,47.358,47.076,47.146,47.278,47.337,47.27,47.32,46.992,46.892,46.73,46.718,47.036,47.006,47.268,47.504,47.213,71.501,62.998,47.395,46.42,87.531,115.245,127.27,127.887,118.673,50.783,46.542,46.73,46.916,46.688,46.687,64.25,128.404,119.367,123.707,123.846,51.005,47.382,47.903,47.185,47.446,47.766,84.534,103.854,131.928,129.799,131.476,143.626,115.686,126.074,121.447,51.195,46.953,46.794,47.119,47.276,47.059,47.147,47.07,46.585,47.04,46.724,46.882,47.071,47.12,46.98,46.892,46.968,46.925,47.015,47.083,47.185,47.197,47.041,47.008,47.024,47.146,46.815,46.984,46.95,47.077,46.971,46.982,47.078,47.156,47.132,47.137,66.574,63.212,47.146,46.545,46.923,47.234,47.252,46.766,46.888,46.982,47.029,46.554,47.042,46.731,46.536,46.585,47.247,47.472,47.195,47.505,47.177,47.584,47.901,75.572,114.958,143.777,140.779,108.512,46.879,47.23,47.109,46.824,46.824,46.993,46.561,79.119,114.473,128.487,126.587,126.915,125.87,127.624,51.248,47.712,47.138,47.009,46.691,46.984,47.052,46.93,46.807,46.855,47.041,46.715,46.938,46.778,46.856,46.69,46.53,47.087,46.811,46.493,46.781,46.313,46.373,47.226,47.192,47.431,46.162,47.711,46.373,46.03,46.483,508.789,162.739,117.975,131.452,51.672,110.244,129.891,136.97,135.072,51.759,47.082,NA
"8","David Ragan",NA,52.93,47.214,47.795,47.676,47.443,47.321,47.198,47.584,47.28,47.148,47.186,47.428,47.182,46.914,47.062,47.272,47.392,47.277,47.303,47.377,47.311,47.03,47.172,47.116,47.306,47.322,47.61,46.628,46.678,46.784,46.719,46.956,47.137,47.178,47.266,47.42,76.975,64.586,50.474,50.592,81.071,114.307,154.837,101.316,110.948,50.518,47.195,47.152,46.147,48.917,46.164,68.331,108.961,128.636,125.323,124.761,50.92,48.02,47.655,47.304,47.348,47.74,83.912,103.748,130.962,132.11,131.462,152.432,117.573,122.983,114.02,51.673,47.192,47.468,47.695,47.29,47.264,48.182,47.214,47.153,47.197,47.411,47.572,47.569,47.274,47.64,47.872,47.818,47.668,48.55,48.32,47.956,47.71,47.782,47.991,48.372,48.207,48.662,48.423,48.317,48.234,77.532,63.779,49.739,49.433,49.375,49.218,48.831,47.17,46.74,47.239,47.641,47.179,47.439,46.517,46.465,46.958,46.843,46.79,46.483,46.571,46.555,46.832,46.927,46.527,46.54,46.58,47.744,48.027,73.35,116.127,122.224,125.084,117.179,46.853,47.271,47.061,46.748,46.847,47.818,46.589,80.151,114.668,128.183,126.542,116.939,95.683,122.446,51,47.938,47.337,46.487,46.924,46.665,47.145,48.178,46.747,46.948,46.728,46.973,46.233,46.985,46.892,46.892,47.197,46.684,46.282,46.318,46.812,46.637,45.867,46.375,46.749,47.088,46.269,46.648,46.324,46.584,47.064,511.331,161.631,117.709,130.574,52.475,111.096,127.992,137.984,134.26,51.826,47.091,NA,NA
"9","Brad Keselowski",NA,53.233,47.512,47.648,47.492,47.592,47.427,48.141,47.216,47.214,47.034,47.25,47.244,47.039,47.02,46.875,47.165,47.188,47.523,47.448,47.42,47.329,47.066,47.153,47.282,47.331,47.286,47.324,46.991,46.912,46.705,46.754,46.982,47.044,47.215,47.498,47.256,47.325,71.156,61.564,46.892,78.994,117.766,129.302,128.3,123.114,51.091,46.685,46.88,46.998,47.013,46.247,63.347,109.854,129.131,127.42,129.021,50.995,46.881,46.802,46.762,46.704,47.037,56.912,123.923,133.637,131.466,131.245,151.536,115.072,126.167,122.801,51.259,46.933,46.763,47.162,47.21,47.004,47.037,46.946,46.756,46.914,46.76,46.964,46.972,47.217,46.935,46.881,46.92,46.874,47.105,47.069,47.126,47.173,47.14,46.999,47.054,47.005,46.913,46.936,46.997,47.074,46.948,46.952,47.102,47.154,47.148,47.077,66.545,62.192,47.519,46.249,47.584,47.144,47.512,46.863,46.809,47.017,47.024,46.535,47.069,46.616,46.605,46.411,46.87,46.685,46.656,46.07,46.578,46.814,47.084,66.577,118.293,147.167,127.511,127.004,47.417,47.243,47.034,46.572,46.812,46.925,46.863,67.803,121.221,128.217,128.284,125.029,126.076,130.202,51.318,47.831,47.187,46.987,46.71,46.94,47.079,46.901,46.82,46.864,47.023,46.733,46.876,46.828,46.885,46.649,46.526,47.093,47.011,46.559,46.784,46.397,46.29,46.68,46.695,46.452,47.011,46.668,46.135,46.886,46.682,499.665,152.053,136.437,133.466,51.482,108.965,130.575,137.476,135.537,51.947,47.391,NA
"10","Chase Elliott",NA,53.169,48.048,48.026,47.496,47.398,47.314,47.378,47.451,47.272,47.4,47.418,47.135,46.94,47.013,47.061,47.314,47.517,47.432,47.407,47.268,47.192,46.973,47.185,46.976,47.204,47.295,47.047,46.85,46.939,46.712,46.813,47.11,46.919,46.944,47.042,47.202,47.245,57.029,76.254,46.914,82.974,116.386,128.209,128.552,121.379,51.003,46.634,46.726,46.921,46.664,46.67,62.052,111.008,128.978,127.668,129.168,50.94,47.073,47.011,47.151,46.986,46.617,62.055,122.219,133.655,131.944,131.095,129.918,139.552,125.188,117.151,51.067,47.091,46.809,46.905,47.153,47.137,46.959,47.32,46.97,47.111,47.563,46.822,47.611,47.156,46.86,46.738,47.369,46.736,46.783,47.077,47.268,47.219,47.038,46.995,46.742,47.386,46.954,46.837,47.051,46.966,47.035,46.965,47.307,47.156,47.15,47.028,47.292,56.666,83.327,48.892,48.956,48.91,48.812,48.763,48.613,49.08,47.979,47.667,47.502,47.596,47.798,47.679,47.613,47.652,48.104,47.755,47.78,53.415,55.755,100.681,119.194,125.577,112.232,47.161,47.317,47.019,46.823,46.822,46.99,46.538,78.771,114.72,125.264,126.364,142.021,125.13,124.588,50.702,47.012,47.175,46.675,46.735,46.804,47.087,47.012,46.836,46.814,47.104,46.932,46.992,46.771,46.822,46.73,46.481,47.081,46.754,46.499,46.748,46.283,46.356,47.238,46.935,46.709,46.502,46.599,46.247,46.652,47.232,513.089,141.257,136.782,130.359,51.902,110.563,129.708,136.796,134.861,51.753,47.12,NA,NA
