"","driver","race","pit_in_elapsed_time","pit_in_lap_count","pit_in_leader_lap","pit_out_elapsed_time","pit_stop_type","pit_stop_duration","laps_remaining"
"3","Austin Cindric","Daytona 500",1754.495,36,37,1789.494,"TWO_WHEEL_CHANGE_RIGHT",11.1738,165
"4","Austin Cindric","Daytona 500",2258.437,42,43,2290.309,"TWO_WHEEL_CHANGE_LEFT",8.2749,159
"5","Austin Cindric","Daytona 500",4344.098,67,67,4375.921,"TWO_WHEEL_CHANGE_RIGHT",8.3411,134
"6","Austin Cindric","Daytona 500",6475.955,107,107,6508.841,"TWO_WHEEL_CHANGE_RIGHT",7.6073,94
"7","Austin Cindric","Daytona 500",7848.118,132,132,7885.798,"FOUR_WHEEL_CHANGE",14.6809,69
"8","Austin Cindric","Daytona 500",9602.219,155,155,9632.236,"TWO_WHEEL_CHANGE_RIGHT",7.0403,46
"11","Bubba Wallace","Daytona 500",1801.9,37,37,1836.224,"TWO_WHEEL_CHANGE_RIGHT",10.6102,164
"12","Bubba Wallace","Daytona 500",4343.75,67,67,4388.873,"FOUR_WHEEL_CHANGE",21.8876,134
"13","Bubba Wallace","Daytona 500",6526.673,108,108,6555.1,"OTHER",4.6712,93
"14","Bubba Wallace","Daytona 500",7846.977,132,132,7886.949,"FOUR_WHEEL_CHANGE",16.683,69
"15","Bubba Wallace","Daytona 500",9602.458,155,155,9632.292,"OTHER",6.473,46
"19","Chase Briscoe","Daytona 500",1757.096,36,37,1789.525,"TWO_WHEEL_CHANGE_RIGHT",9.0754,165
"20","Chase Briscoe","Daytona 500",2148.171,41,42,2210.566,"FOUR_WHEEL_CHANGE",37.7705,160
"21","Chase Briscoe","Daytona 500",2972.178,52,53,3065.761,"OTHER",69.8009,149
"22","Chase Briscoe","Daytona 500",4348.827,67,67,4386.616,"FOUR_WHEEL_CHANGE",14.6477,134
"23","Chase Briscoe","Daytona 500",6478.215,107,107,6519.513,"TWO_WHEEL_CHANGE_RIGHT",18.6099,94
"24","Chase Briscoe","Daytona 500",7855.717,132,133,7895.522,"FOUR_WHEEL_CHANGE",16.3493,69
"25","Chase Briscoe","Daytona 500",9603.593,155,155,9633.822,"TWO_WHEEL_CHANGE_RIGHT",5.5055,46
"30","Ryan Blaney","Daytona 500",1754.804,36,37,1787.173,"TWO_WHEEL_CHANGE_RIGHT",9.709,165
"31","Ryan Blaney","Daytona 500",2967.727,52,53,3068.663,"FOUR_WHEEL_CHANGE",78.1761,149
"32","Ryan Blaney","Daytona 500",4347.464,67,67,4374.663,"OTHER",4.2375,134
"33","Ryan Blaney","Daytona 500",6475.654,107,107,6506.661,"TWO_WHEEL_CHANGE_RIGHT",8.2747,94
"34","Ryan Blaney","Daytona 500",7849.891,132,132,7890.329,"FOUR_WHEEL_CHANGE",17.4838,69
"35","Ryan Blaney","Daytona 500",9602.989,155,155,9633.289,"OTHER",7.1737,46
"38","Aric Almirola","Daytona 500",1756.871,36,37,1790.36,"TWO_WHEEL_CHANGE_RIGHT",9.7492,165
"39","Aric Almirola","Daytona 500",2258.873,42,43,2289.091,"TWO_WHEEL_CHANGE_LEFT",6.2395,159
"40","Aric Almirola","Daytona 500",2969.183,52,53,3005.573,"FOUR_WHEEL_CHANGE",13.2462,149
"41","Aric Almirola","Daytona 500",4347.827,67,67,4384.104,"FOUR_WHEEL_CHANGE",13.1129,134
"42","Aric Almirola","Daytona 500",6478.382,107,107,6508.608,"OTHER",4.9715,94
"43","Aric Almirola","Daytona 500",7851.971,132,132,7889.782,"FOUR_WHEEL_CHANGE",14.8145,69
"44","Aric Almirola","Daytona 500",9604.2,155,155,9641.195,"FOUR_WHEEL_CHANGE",14.481,46
"45","Aric Almirola","Daytona 500",9869.884,157,157,9895.187,"OTHER",2.1687,44
"49","Kyle Busch","Daytona 500",1800.786,37,37,1832.33,"TWO_WHEEL_CHANGE_RIGHT",8.2417,164
"50","Kyle Busch","Daytona 500",3755.526,62,63,3823.873,"TWO_WHEEL_CHANGE_RIGHT",45.0773,139
"51","Kyle Busch","Daytona 500",3978.601,64,65,4088.863,"TWO_WHEEL_CHANGE_LEFT",86.2817,137
"52","Kyle Busch","Daytona 500",4226.33,66,67,4352.015,"OTHER",102.1678,135
"53","Kyle Busch","Daytona 500",4490.889,68,69,4533.871,"OTHER",19.2521,133
"54","Kyle Busch","Daytona 500",6527.069,108,108,6557.964,"TWO_WHEEL_CHANGE_RIGHT",8.1106,93
"55","Kyle Busch","Daytona 500",7728.664,131,132,7859.572,"OTHER",107.6174,70
"56","Kyle Busch","Daytona 500",7991.103,133,134,8102.924,"FOUR_WHEEL_CHANGE",87.6816,68
"57","Kyle Busch","Daytona 500",8156.77,134,135,8242.29,"OTHER",62.4283,67
"58","Kyle Busch","Daytona 500",9606.552,155,155,9646.281,"FOUR_WHEEL_CHANGE",16.846,46
"62","Michael McDowell","Daytona 500",1755.06,36,37,1790.273,"OTHER",11.1104,165
"63","Michael McDowell","Daytona 500",2964.17,52,52,3000.593,"FOUR_WHEEL_CHANGE",13.7133,149
"64","Michael McDowell","Daytona 500",4345.732,67,67,4381.871,"FOUR_WHEEL_CHANGE",13.1796,134
"65","Michael McDowell","Daytona 500",6477.786,107,107,6508.291,"OTHER",5.9724,94
"66","Michael McDowell","Daytona 500",7852.97,132,132,7893.714,"FOUR_WHEEL_CHANGE",18.0843,69
"67","Michael McDowell","Daytona 500",8237.398,135,135,8271.579,"OTHER",9.8766,66
"68","Michael McDowell","Daytona 500",9604.574,155,155,9635.98,"TWO_WHEEL_CHANGE_RIGHT",8.2748,46
"70","Michael McDowell","Daytona 500",11776.373,191,191,11811.994,"FOUR_WHEEL_CHANGE",12.7124,10
"73","David Ragan","Daytona 500",1757.461,36,37,1795.939,"TWO_WHEEL_CHANGE_RIGHT",14.6137,165
"74","David Ragan","Daytona 500",2264.597,42,43,2312.175,"TWO_WHEEL_CHANGE_LEFT",23.723,159
"75","David Ragan","Daytona 500",4346.159,67,67,4389.975,"FOUR_WHEEL_CHANGE",20.7863,134
"76","David Ragan","Daytona 500",6220.803,101,102,6259.521,"TWO_WHEEL_CHANGE_RIGHT",15.0481,100
"77","David Ragan","Daytona 500",7977.207,132,133,8021.894,"FOUR_WHEEL_CHANGE",21.7592,69
"78","David Ragan","Daytona 500",9749.546,156,157,9798.167,"FOUR_WHEEL_CHANGE",24.5942,45
"79","David Ragan","Daytona 500",11774.785,191,191,11812.13,"OTHER",13.831,10
"82","Brad Keselowski","Daytona 500",1801.875,37,37,1835.583,"TWO_WHEEL_CHANGE_RIGHT",10.911,164
"83","Brad Keselowski","Daytona 500",4341.157,67,67,4379.267,"FOUR_WHEEL_CHANGE",14.7141,134
"84","Brad Keselowski","Daytona 500",6476.67,107,107,6506.155,"TWO_WHEEL_CHANGE_RIGHT",7.0067,94
"85","Brad Keselowski","Daytona 500",7847.215,132,132,7884.288,"FOUR_WHEEL_CHANGE",13.9135,69
"86","Brad Keselowski","Daytona 500",9601.821,155,155,9633.139,"TWO_WHEEL_CHANGE_LEFT",7.9413,46
"90","Chase Elliott","Daytona 500",1802.113,37,37,1836.159,"TWO_WHEEL_CHANGE_RIGHT",10.21,164
"91","Chase Elliott","Daytona 500",4343.437,67,67,4385.714,"FOUR_WHEEL_CHANGE",19.0515,134
"92","Chase Elliott","Daytona 500",6527.435,108,108,6566.67,"TWO_WHEEL_CHANGE_RIGHT",15.0381,93
"93","Chase Elliott","Daytona 500",7855.185,132,132,7961.832,"TWO_WHEEL_CHANGE_RIGHT",82.4926,69
"94","Chase Elliott","Daytona 500",8022.331,133,134,8053.945,"TWO_WHEEL_CHANGE_LEFT",7.7076,68
"95","Chase Elliott","Daytona 500",8246.685,135,136,8273.132,"OTHER",3.0363,66
"96","Chase Elliott","Daytona 500",9605.97,155,155,9651.351,"FOUR_WHEEL_CHANGE",13.68,46
"97","Chase Elliott","Daytona 500",9872.2,157,158,9899.879,"OTHER",3.2365,44
"99","Chase Elliott","Daytona 500",11774.449,191,191,11818.39,"FOUR_WHEEL_CHANGE",18.4181,10
"103","Ty Dillon","Daytona 500",1804.029,37,38,1834.332,"OTHER",6.2727,164
"105","Ty Dillon","Daytona 500",2265.088,42,43,2308.863,"FOUR_WHEEL_CHANGE",19.6523,159
"106","Ty Dillon","Daytona 500",2972.644,52,53,3004.469,"OTHER",7.8743,149
"107","Ty Dillon","Daytona 500",4344.783,67,67,4388.495,"FOUR_WHEEL_CHANGE",20.8236,134
"108","Ty Dillon","Daytona 500",6478.002,107,107,6507.89,"OTHER",4.2708,94
"109","Ty Dillon","Daytona 500",7850.498,132,132,7892.404,"FOUR_WHEEL_CHANGE",19.2153,69
"110","Ty Dillon","Daytona 500",9606.255,155,155,9646.854,"FOUR_WHEEL_CHANGE",16.7425,46
"111","Ty Dillon","Daytona 500",9870.415,157,157,9898.725,"OTHER",4.4377,44
"112","Ty Dillon","Daytona 500",11775.74,191,191,11803.785,"OTHER",4.4042,10
"118","Daniel Hemric","Daytona 500",1852.552,37,38,1888.963,"OTHER",11.2443,164
"119","Daniel Hemric","Daytona 500",2303.246,42,43,2343.166,"FOUR_WHEEL_CHANGE",16.8835,159
"120","Daniel Hemric","Daytona 500",2402.178,43,44,2431.474,"OTHER",4.3042,158
"122","Daniel Hemric","Daytona 500",2640.464,46,47,2666.59,"OTHER",2.4356,155
"123","Daniel Hemric","Daytona 500",4491.245,68,69,4534.397,"FOUR_WHEEL_CHANGE",19.2521,133
"124","Daniel Hemric","Daytona 500",6219.565,101,102,6251.106,"OTHER",7.7741,100
"125","Daniel Hemric","Daytona 500",7990.775,133,134,8049.685,"FOUR_WHEEL_CHANGE",32.2983,68
"126","Daniel Hemric","Daytona 500",9731.875,156,156,9773.861,"FOUR_WHEEL_CHANGE",19.0856,45
"127","Daniel Hemric","Daytona 500",9873.062,157,158,9904.147,"OTHER",6.4397,44
"129","Daniel Hemric","Daytona 500",11777.237,191,191,11816.888,"FOUR_WHEEL_CHANGE",16.316,10
"134","Martin Truex Jr.","Daytona 500",1801.445,37,37,1832.956,"OTHER",6.8736,164
"135","Martin Truex Jr.","Daytona 500",4340.909,67,67,4384.448,"FOUR_WHEEL_CHANGE",20.0527,134
"136","Martin Truex Jr.","Daytona 500",6526.35,108,108,6554.926,"OTHER",4.7379,93
"137","Martin Truex Jr.","Daytona 500",7846.39,132,132,7891.194,"FOUR_WHEEL_CHANGE",21.3875,69
"138","Martin Truex Jr.","Daytona 500",9143.722,151,152,9223.004,"TWO_WHEEL_CHANGE_RIGHT",53.1167,50
"139","Martin Truex Jr.","Daytona 500",9355.738,153,154,9460.255,"FOUR_WHEEL_CHANGE",80.8441,48
"140","Martin Truex Jr.","Daytona 500",9863.841,157,157,9909.434,"OTHER",22.5218,44
"142","Martin Truex Jr.","Daytona 500",11775.183,191,191,11820.49,"FOUR_WHEEL_CHANGE",20.1864,10
"147","Corey LaJoie","Daytona 500",1804.772,37,38,1841.234,"OTHER",12.9126,164
"148","Corey LaJoie","Daytona 500",2262.84,42,43,2301.065,"FOUR_WHEEL_CHANGE",14.9812,159
"149","Corey LaJoie","Daytona 500",2393.647,43,44,2420.908,"OTHER",4.1706,158
"150","Corey LaJoie","Daytona 500",2973.216,52,53,3004.697,"OTHER",7.5072,149
"151","Corey LaJoie","Daytona 500",3719.771,62,63,3788.201,"FOUR_WHEEL_CHANGE",43.6303,139
"152","Corey LaJoie","Daytona 500",4473.872,68,68,4535.703,"OTHER",37.5019,133
"153","Corey LaJoie","Daytona 500",4615.916,69,70,4644.226,"OTHER",4.4377,132
"154","Corey LaJoie","Daytona 500",6219.93,101,102,6251.319,"OTHER",8.0076,100
"155","Corey LaJoie","Daytona 500",7974.557,132,133,8019.3,"FOUR_WHEEL_CHANGE",21.3361,69
"157","Corey LaJoie","Daytona 500",10948.485,178,179,10979.516,"OTHER",7.5408,23
"158","Corey LaJoie","Daytona 500",11810.964,191,192,11851.004,"FOUR_WHEEL_CHANGE",15.9859,10
"164","Landon Cassill","Daytona 500",1852.204,38,38,1888.637,"OTHER",12.579,163
"165","Landon Cassill","Daytona 500",2387.787,43,44,2435.994,"FOUR_WHEEL_CHANGE",22.3882,158
"166","Landon Cassill","Daytona 500",2519.568,44,45,2569.678,"FOUR_WHEEL_CHANGE",25.058,157
"167","Landon Cassill","Daytona 500",3228.115,53,55,3258.127,"OTHER",4.6379,148
"168","Landon Cassill","Daytona 500",6220.45,101,102,6254.659,"OTHER",9.9095,100
"169","Landon Cassill","Daytona 500",7979.654,132,133,8094.853,"FOUR_WHEEL_CHANGE",90.8316,69
"170","Landon Cassill","Daytona 500",8248.369,134,136,8284.782,"OTHER",11.5779,67
"171","Landon Cassill","Daytona 500",10948.754,178,179,10978.376,"OTHER",5.2718,23
"172","Landon Cassill","Daytona 500",11777.775,190,192,11825.943,"FOUR_WHEEL_CHANGE",24.5121,11
"176","Chris Buescher","Daytona 500",1802.792,37,38,1836.437,"TWO_WHEEL_CHANGE_RIGHT",9.9427,164
"177","Chris Buescher","Daytona 500",2256.051,42,42,2286.287,"OTHER",6.9736,159
"178","Chris Buescher","Daytona 500",2964.66,52,52,3005.569,"FOUR_WHEEL_CHANGE",18.2177,149
"179","Chris Buescher","Daytona 500",4349.663,67,67,4375.509,"OTHER",2.6693,134
"180","Chris Buescher","Daytona 500",6476.862,107,107,6506.521,"OTHER",6.9067,94
"181","Chris Buescher","Daytona 500",7848.454,132,132,7891.411,"FOUR_WHEEL_CHANGE",20.5535,69
"182","Chris Buescher","Daytona 500",9603.31,155,155,9633.431,"OTHER",7.1069,46
"184","Chris Buescher","Daytona 500",12370.117,195,197,12417.876,"OTHER",24.3239,6
"188","Cody Ware","Daytona 500",1734.593,35,36,1775.939,"TWO_WHEEL_CHANGE_RIGHT",17.3132,166
"189","Cody Ware","Daytona 500",2971.501,52,53,3004.824,"TWO_WHEEL_CHANGE_LEFT",8.3747,149
"190","Cody Ware","Daytona 500",4347.201,67,67,4390.565,"FOUR_WHEEL_CHANGE",18.451,134
"191","Cody Ware","Daytona 500",6221.004,101,102,6258.281,"TWO_WHEEL_CHANGE_RIGHT",13.3608,100
"192","Cody Ware","Daytona 500",7977.684,132,133,8024.792,"FOUR_WHEEL_CHANGE",23.6552,69
"194","Cody Ware","Daytona 500",10950.728,178,179,10981.177,"OTHER",6.6732,23
"196","Cody Ware","Daytona 500",11779.004,190,192,11826.617,"FOUR_WHEEL_CHANGE",22.9804,11
"202","Daniel Suarez","Daytona 500",1803.265,37,38,1838.007,"TWO_WHEEL_CHANGE_RIGHT",11.2777,164
"203","Daniel Suarez","Daytona 500",2969.868,52,53,3005.22,"TWO_WHEEL_CHANGE_RIGHT",11.7113,149
"204","Daniel Suarez","Daytona 500",4346.66,67,67,4383.718,"FOUR_WHEEL_CHANGE",13.5466,134
"205","Daniel Suarez","Daytona 500",6479.443,107,108,6507.92,"OTHER",4.3376,94
"207","Daniel Suarez","Daytona 500",7446.65,126,127,7481.489,"FOUR_WHEEL_CHANGE",11.9658,75
"208","Daniel Suarez","Daytona 500",7545.705,127,130,7580.501,"TWO_WHEEL_CHANGE_LEFT",10.8105,74
"209","Daniel Suarez","Daytona 500",8231.636,133,135,8261.253,"OTHER",5.5056,68
"211","Daniel Suarez","Daytona 500",10948.02,177,179,10976.853,"OTHER",5.8391,24
"213","Daniel Suarez","Daytona 500",11776.926,189,191,11815.98,"FOUR_WHEEL_CHANGE",15.1481,12
"218","Kurt Busch","Daytona 500",1801.835,37,37,1834.814,"TWO_WHEEL_CHANGE_RIGHT",9.8099,164
"219","Kurt Busch","Daytona 500",4211.632,66,66,4329.938,"TWO_WHEEL_CHANGE_RIGHT",94.4115,135
"220","Kurt Busch","Daytona 500",4476.981,68,68,4569.547,"TWO_WHEEL_CHANGE_LEFT",67.2097,133
"221","Kurt Busch","Daytona 500",6527.933,108,108,6557.039,"TWO_WHEEL_CHANGE_RIGHT",6.1419,93
"222","Kurt Busch","Daytona 500",7852.382,132,132,7976.674,"TWO_WHEEL_CHANGE_RIGHT",98.2855,69
"223","Kurt Busch","Daytona 500",8032.999,133,134,8090.64,"TWO_WHEEL_CHANGE_LEFT",33.4664,68
"224","Kurt Busch","Daytona 500",8147.149,134,135,8191.05,"OTHER",19.8199,67
"225","Kurt Busch","Daytona 500",8251.23,135,136,8282.53,"OTHER",6.9068,66
"232","Kurt Busch","Daytona 500",9285.644,151,153,9465.961,"OTHER",154.6271,50
"233","Kurt Busch","Daytona 500",11781.826,189,192,11827.961,"FOUR_WHEEL_CHANGE",21.3445,12
"237","Cole Custer","Daytona 500",1757.097,36,37,1788.466,"TWO_WHEEL_CHANGE_RIGHT",8.508,165
"238","Cole Custer","Daytona 500",2969.508,52,53,3008.621,"FOUR_WHEEL_CHANGE",16.5494,149
"239","Cole Custer","Daytona 500",4348.265,67,67,4382.755,"OTHER",10.3435,134
"240","Cole Custer","Daytona 500",6477.581,107,107,6507.648,"TWO_WHEEL_CHANGE_LEFT",6.8066,94
"241","Cole Custer","Daytona 500",6748.044,112,113,6778.181,"OTHER",7.6074,89
"242","Cole Custer","Daytona 500",6881.357,114,115,6941.103,"OTHER",36.9701,87
"243","Cole Custer","Daytona 500",7738.001,129,132,7839.16,"OTHER",77.3361,72
"244","Cole Custer","Daytona 500",7901.784,130,133,7969.699,"OTHER",44.8492,71
"245","Cole Custer","Daytona 500",8029.507,131,134,8069.026,"FOUR_WHEEL_CHANGE",16.483,70
"246","Cole Custer","Daytona 500",8247.789,133,136,8276.632,"OTHER",4.5711,68
"248","Cole Custer","Daytona 500",10902.639,176,178,10936.801,"TWO_WHEEL_CHANGE_RIGHT",11.5446,25
"254","Joey Logano","Daytona 500",1850.264,38,38,1880.547,"TWO_WHEEL_CHANGE_RIGHT",7.2406,163
"255","Joey Logano","Daytona 500",4342.247,67,67,4386.565,"FOUR_WHEEL_CHANGE",20.3863,134
